Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
verificationHod,Chrome 73.0.3683.103,,2019-04-26 15:16:49,2019-04-26 15:25:52,9m - 3.141s,FAILED
,,,,,,
Test Cases/verification hod/buyer/approved,Chrome 73.0.3683.103,,2019-04-26 15:16:49,2019-04-26 15:17:28,38.433s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-26 15:16:50,2019-04-26 15:16:54,4.208s,PASSED
"navigateToUrl(""http://admin-chiragh.surge.sh/"")",Chrome 73.0.3683.103,,2019-04-26 15:16:54,2019-04-26 15:17:01,7.288s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,2019-04-26 15:17:01,2019-04-26 15:17:02,1.157s,PASSED
waitForPageLoad(8),Chrome 73.0.3683.103,,2019-04-26 15:17:02,2019-04-26 15:17:02,0.102s,PASSED
"click(findTestObject(""Object Repository/verification hod/approved leads tab/Page_Chiragh.com Admin/div_Username""))",Chrome 73.0.3683.103,,2019-04-26 15:17:02,2019-04-26 15:17:03,0.162s,PASSED
"setText(findTestObject(""Object Repository/verification hod/approved leads tab/Page_Chiragh.com Admin/input_Admin Panel_userName""), ""arsalankhalid"")",Chrome 73.0.3683.103,,2019-04-26 15:17:03,2019-04-26 15:17:03,0.223s,PASSED
"setEncryptedText(findTestObject(""Object Repository/verification hod/approved leads tab/Page_Chiragh.com Admin/input_Username_password""), ""RigbBhfdqODKcAsiUrg+1Q=="")",Chrome 73.0.3683.103,,2019-04-26 15:17:03,2019-04-26 15:17:03,0.294s,PASSED
"click(findTestObject(""Object Repository/verification hod/approved leads tab/Page_Chiragh.com Admin/button_Login""))",Chrome 73.0.3683.103,,2019-04-26 15:17:03,2019-04-26 15:17:03,0.120s,PASSED
"click(findTestObject(""Object Repository/verification hod/buyer/Page_Chiragh.com Admin/a_Buyer""))",Chrome 73.0.3683.103,,2019-04-26 15:17:03,2019-04-26 15:17:06,3.203s,PASSED
delay(5),Chrome 73.0.3683.103,,2019-04-26 15:17:06,2019-04-26 15:17:12,5.031s,PASSED
"click(findTestObject(""Object Repository/verification hod/approved leads tab/Page_Chiragh.com Admin/a_Approved Leads""))",Chrome 73.0.3683.103,,2019-04-26 15:17:12,2019-04-26 15:17:12,0.263s,PASSED
delay(15),Chrome 73.0.3683.103,,2019-04-26 15:17:12,2019-04-26 15:17:27,15.005s,PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/verification hod/approved leads tab/Page_Chiragh.com Admin/th_Assignee""), 4) && verifyElementPresent(findTestObject(""Object Repository/verification hod/approved leads tab/Page_Chiragh.com Admin/span_Approved""), 4))",Chrome 73.0.3683.103,,2019-04-26 15:17:27,2019-04-26 15:17:28,0.890s,PASSED
,,,,,,
Test Cases/verification hod/buyer/archived,Chrome 73.0.3683.103,,2019-04-26 15:17:28,2019-04-26 15:17:54,26.271s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-26 15:17:28,2019-04-26 15:17:31,2.575s,PASSED
"navigateToUrl(""http://admin-chiragh.surge.sh/"")",Chrome 73.0.3683.103,,2019-04-26 15:17:31,2019-04-26 15:17:38,7.217s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,2019-04-26 15:17:38,2019-04-26 15:17:39,1.122s,PASSED
waitForPageLoad(8),Chrome 73.0.3683.103,,2019-04-26 15:17:39,2019-04-26 15:17:39,0.010s,PASSED
